Month,High,Low,Rainfall
January,22,12,2
February,26,15,4
March,33,19,3
April,37,24,6
May,38,26,12
June,37,28,24
July,33,27,37
August,32,27,34
September,32,26,15
October,31,23,4
November,28,18,1
December,24,14,0
