Overs,SA_Runs,NP_Runs
1,4,6
2,10,10
3,16,16
4,22,20
5,31,26
6,38,32
7,40,34
8,51,36
9,53,42
10,57,48
11,67,60
12,69,71
13,73,82
14,77,86
15,80,91
16,85,95
17,95,98
18,99,100
19,106,108
20,115,114
